Id;Function;threads;gpus;P;Q;mtxfmt;nb;m;n;lda;seedA;bump;tsub;time;gflops;scheduler
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;5.088607e+01;3.911782e+01;random
0;dgetrf_nopiv;23;0;6;1;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;5.262505e+01;3.782519e+01;random
0;dgetrf_nopiv;23;0;6;1;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.578486e+01;5.562554e+01;dmdas
0;dgetrf_nopiv;23;0;6;1;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;4.868664e+01;4.088498e+01;random
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;5.591997e+01;3.559645e+01;random
0;dgetrf_nopiv;23;0;6;1;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.733598e+01;5.331459e+01;dmda
0;dgetrf_nopiv;23;0;3;2;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.506034e+01;5.677504e+01;dmdas
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.553341e+01;5.601918e+01;dmdas
0;dgetrf_nopiv;23;0;3;2;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;5.686071e+01;3.500752e+01;random
0;dgetrf_nopiv;23;0;6;1;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.594132e+01;5.538339e+01;dmda
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;5.306411e+01;3.751221e+01;random
0;dgetrf_nopiv;23;0;1;6;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.373607e+01;5.900368e+01;lws
0;dgetrf_nopiv;23;0;1;6;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.524893e+01;5.647129e+01;dmdas
0;dgetrf_nopiv;23;0;1;6;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.471028e+01;5.734764e+01;dmda
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.721271e+01;5.349119e+01;dmdas
0;dgetrf_nopiv;23;0;1;6;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.624429e+01;5.492044e+01;dmda
0;dgetrf_nopiv;23;0;3;2;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.130280e+01;6.359023e+01;lws
0;dgetrf_nopiv;23;0;6;1;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.678225e+01;5.411720e+01;dmda
