size,block_size,scheduler,pq,Blocks,exp,Order
14400,360,lws,1x6,.9,openmpi,openmpi_1x6_lws_139
14400,360,dmda,3x2,.9,openmpi,openmpi_3x2_dmda_140
14400,360,dmda,6x1,.9,openmpi,openmpi_6x1_dmda_141
14400,360,dmda,1x6,.9,openmpi,openmpi_1x6_dmda_142
14400,360,random,3x2,.9,openmpi,openmpi_3x2_random_143
14400,360,dmdas,2x3,.9,openmpi,openmpi_2x3_dmdas_144
14400,360,dmdas,3x2,.10,openmpi,openmpi_3x2_dmdas_145
14400,360,dmdas,6x1,.10,openmpi,openmpi_6x1_dmdas_146
14400,360,random,3x2,.10,openmpi,openmpi_3x2_random_147
14400,360,lws,6x1,.10,openmpi,openmpi_6x1_lws_148
14400,360,dmda,3x2,.10,openmpi,openmpi_3x2_dmda_149
14400,360,dmdas,2x3,.10,openmpi,openmpi_2x3_dmdas_150
14400,360,dmda,2x3,.10,openmpi,openmpi_2x3_dmda_151
14400,360,dmda,1x6,.10,openmpi,openmpi_1x6_dmda_152
14400,360,random,2x3,.10,openmpi,openmpi_2x3_random_153
14400,360,random,1x6,.10,openmpi,openmpi_1x6_random_154
14400,360,lws,2x3,.10,openmpi,openmpi_2x3_lws_155
14400,360,random,6x1,.10,openmpi,openmpi_6x1_random_156
14400,360,dmdas,1x6,.10,openmpi,openmpi_1x6_dmdas_157
14400,360,dmda,6x1,.10,openmpi,openmpi_6x1_dmda_158
14400,360,lws,1x6,.10,openmpi,openmpi_1x6_lws_159
14400,360,lws,3x2,.10,openmpi,openmpi_3x2_lws_160
